time blob_mass ism_mass r_forward r_reverse total_mass E_blob E_ism blob_energy ism_energy total_energy ism_rest total_lum reverse_lum reverse_lum2 reverse_lum3 blob_mass2 critical_mass maxgamma blob_kinetic swept_up maxgamma_forward maxgamma_blob
675.6944444444445 691548.2893734043 21650164.58493654 350.25279198478 146.79925505892817 31846147.859489 0.0 0.0 18994.432565398638 856002.9621387618 875003.1733433626 21401220.15749665 578.9687147279176 2.0780027908686676 3.9369756595624588 0.0 684072.1937961743 656822.5331648171 1.0414870977401733 7569.85175225382 22341712.863609873 1.018315076828003 1.0414870977401733
679.5555555555555 691219.807780768 21831012.777286123 351.2179415906901 146.41319521656413 31846147.651980784 0.0 0.0 19046.062344482412 855952.5686653771 875002.9955299322 21582188.31756501 575.3102862388024 2.0834452678829387 3.952089474064631 0.0 683682.3819504435 656754.2013969731 1.0410019159317017 7632.674426987527 22522232.582866143 1.0181639194488525 1.0410019159317017
683.4166666666666 691921.746852218 22011030.3489799 352.18309119660023 146.22016529538212 31846147.708754007 0.0 0.0 19178.472604477163 855815.4470850243 875003.0453159518 21762338.381213814 571.6047901983956 2.0896867684665548 3.940912131763808 0.0 684319.2344972185 657955.6212171175 1.0400689840316772 7699.273696221977 22702952.15584082 1.0180199146270752 1.0400689840316772
687.2777777777778 691602.769762609 22194420.085882608 353.1482408025103 145.83410545301805 31846147.737766504 0.0 0.0 19229.89256377377 855769.726778531 875003.0512965446 21945841.758651096 568.0659877439917 2.096454495263469 3.929979818168829 0.0 683942.0181857351 658265.7093518749 1.039005994796753 7758.938550538405 22886022.88748492 1.017876386642456 1.039005994796753
691.1388888888889 691276.2066019786 22378897.55374461 354.11339040842046 145.44804561065402 31846147.66682112 0.0 0.0 19279.595918511543 855723.2477154218 875002.9934843866 22130431.74096611 564.6061098846778 2.1042152361158033 3.9478650858396884 0.0 683559.6243112381 658523.4177691505 1.0380187034606934 7816.1368686014775 23070173.746662207 1.0177174806594849 1.0380187034606934
695.0 691984.6037767362 22562451.65666613 355.07854001433054 145.255015689472 31846147.718373857 0.0 0.0 19411.307482710465 855591.3555482681 875002.9574177774 22314114.53055681 561.0430058114031 2.1134090360458004 3.9416418988189243 0.0 684207.823028394 659922.955204925 1.0367995500564575 7877.732617522105 23254436.196349494 1.0175409317016602 1.0367995500564575
698.8611111111111 691688.0695032382 22748504.57131308 356.0436896202407 144.86895584710794 31846147.733025678 0.0 0.0 19463.386895791715 855539.5925975238 875002.9869670793 22500290.674805097 557.6205587691709 2.1233563933504627 3.935729622190963 0.0 683858.077635108 660230.4205851051 1.0357869863510132 7932.242500582698 23440192.58415386 1.0173858404159546 1.0357869863510132
702.7222222222222 691409.8929754985 22935314.16296872 357.00883922615077 144.4828960047439 31846147.737912405 0.0 0.0 19517.022557814544 855486.0064876179 875003.0290454322 22687226.90591723 554.2197663217734 2.1341279306666237 3.9581249155796856 0.0 683527.6408113327 660555.701522507 1.0347766876220703 7985.792220471575 23626724.018132314 1.01724374294281 1.0347766876220703
706.5833333333334 691125.6799490368 23079583.715381034 357.78095891087884 144.09683616237987 31846147.79877673 0.0 0.0 19569.235695790932 855379.1211449201 875003.0939616034 22831629.278974928 550.8967276158543 2.145530882991594 3.980853571831487 0.0 683192.9846764975 660863.133492213 1.0337889194488525 8037.49924532447 23671779.923090566 1.0171149969100952 1.0337889194488525
710.4444444444445 691795.9256050383 23269892.934654336 358.746108516789 143.90380624119783 31846147.81121414 0.0 0.0 19694.500255745093 855291.7602976161 875003.0936501906 23022054.41556708 547.6024233903187 2.157750295536702 3.978546302658671 0.0 683810.131686252 662084.8566978634 1.0328134298324585 8091.865319370447 23961688.85189278 1.0169702768325806 1.0328134298324585
